-33.9360	151.1732	0
-33.9227	151.1694	168
-33.9165	151.1677	421
-33.8770	151.1335	1006
-33.8588	151.1105	1128
-33.8420	151.0895	1318
-33.8224	151.0639	1646
-33.8147	151.0542	1737
-33.8103	151.0486	1768
-33.8047	151.0414	1829
-33.7889	151.0213	1928
-33.7697	150.9967	2042
-33.7644	150.9898	2073
-33.7589	150.9828	2103
-33.7477	150.9685	2195
-33.7364	150.9540	2316
-33.7307	150.9467	2377
-33.7244	150.9387	2461
-33.6907	150.8957	2819
-33.6609	150.8586	3132
-33.6477	150.8444	3261
-33.6392	150.8361	3353
-33.6321	150.8296	3444
-33.6249	150.8233	3505
-33.6175	150.8173	3597
-33.6118	150.8127	3703
-33.6042	150.8067	378
-33.5873	150.7935	3993
-33.5858	150.7922	4008
-33.5421	150.7582	4488
-33.5271	150.7465	4633
-33.5094	150.7327	4816
-33.5066	150.7305	4862
-33.4934	150.7203	4999
-33.4710	150.7027	5182
-33.4691	150.7013	5212
-33.4449	150.6824	5418
-33.3772	150.6294	5974
-33.3685	150.6227	6035
-33.3599	150.6160	6096
-33.3101	150.5771	65
-33.2748	150.5496	6759
-33.2626	150.5401	6858
-33.2537	150.5330	6919
-33.2448	150.5260	698
-33.2358	150.5190	7041
-33.2177	150.5050	7132
-33.1994	150.4908	7254
-33.1812	150.4767	7346
-33.1744	150.4713	7376
-33.1717	150.4693	7407
-33.1530	150.4548	7498
-33.1372	150.4426	7612
-33.0817	150.3995	7971
-33.0612	150.3837	8077
-33.0584	150.3816	8108
-33.0522	150.3768	8146
-33.0393	150.3667	8199
-33.0324	150.3614	823
-33.0200	150.3518	8321
-33.0103	150.3443	8352
-33.0038	150.3393	8405
-32.9937	150.3315	8473
-32.9259	150.2792	8839
-32.8729	150.2384	9114
-32.8630	150.2307	9144
-32.8458	150.2175	9174
-32.8357	150.2097	9205
-32.8296	150.2050	9228
-32.8226	150.1996	9266
-32.8124	150.1917	9296
-32.7950	150.1784	9357
-32.7920	150.1761	9388
-32.7715	150.1603	9449
-32.7642	150.1547	9479
-32.7436	150.1389	9571
-32.7406	150.1366	9601
-32.7199	150.1209	9723
-32.7062	150.1103	9815
-32.6995	150.1052	9845
-32.6688	150.0818	10058
-32.6487	150.0664	10211
-32.6443	150.0631	10241
-32.5849	150.0178	10668
-32.5596	149.9984	10759
-32.5497	149.9908	1079
-32.5329	149.9780	10851
-32.5261	149.9728	10874
-32.5104	149.9607	10912
-32.5005	149.9532	10942
-32.4907	149.9457	10973
-32.4809	149.9382	10973
-32.4710	149.9307	10973
-32.4689	149.9291	1098
-32.4543	149.9180	10973
-32.4445	149.9106	10973
-32.4320	149.9010	10973
-32.4223	149.8937	10973
-32.4058	149.8811	10973
-32.4030	149.8790	10973
-32.3838	149.8645	10973
-32.3770	149.8593	10973
-32.3646	149.8499	10973
-32.3550	149.8426	10973
-32.3504	149.8391	10973
-32.3386	149.8302	10973
-32.3359	149.8281	10973
-32.3167	149.8135	10973
-32.2908	149.7938	10973
-32.2688	149.7772	10973
-32.2497	149.7627	10973
-32.2345	149.7512	10973
-32.2237	149.7430	10973
-32.2017	149.7264	10973
-32.1826	149.7118	10973
-32.1761	149.7070	10973
-32.1566	149.6922	10973
-32.1346	149.6756	10973
-32.1154	149.6611	10973
-32.0962	149.6466	10973
-32.0866	149.6395	10973
-32.0701	149.6270	10973
-32.0673	149.6249	10973
-32.0612	149.6203	10973
-32.0035	149.5769	10973
-31.9808	149.5599	10973
-31.9712	149.5526	10973
-31.9616	149.5454	10973
-31.9520	149.5382	10973
-31.9350	149.5254	10973
-31.9254	149.5182	10973
-31.9136	149.5094	10973
-31.9039	149.5022	10973
-31.8943	149.4950	10973
-31.8847	149.4878	10973
-31.8581	149.4678	10973
-31.8464	149.4590	10973
-31.8368	149.4518	10973
-31.8272	149.4446	10973
-31.8102	149.4319	10973
-31.8080	149.4303	10973
-31.7889	149.4159	10973
-31.7815	149.4104	10973
-31.7697	149.4016	10973
-31.7689	149.4010	10973
-31.7601	149.3945	10973
-31.7410	149.3801	10973
-31.7219	149.3659	10973
-31.7145	149.3603	10973
-31.7115	149.3581	10973
-31.6954	149.3460	10973
-31.6932	149.3444	10973
-31.6741	149.3302	10973
-31.6550	149.3160	10973
-31.6477	149.3105	10973
-31.6286	149.2963	10973
-31.6265	149.2947	10973
-31.6074	149.2805	10973
-31.5963	149.2722	10973
-31.5883	149.2664	10973
-31.5788	149.2593	10973
-31.5620	149.2467	10973
-31.5598	149.2451	10973
-31.5408	149.2309	10973
-31.5334	149.2254	10973
-31.5247	149.2190	10973
-31.5217	149.2168	10973
-31.5122	149.2097	10973
-31.5026	149.2026	10973
-31.4931	149.1955	10973
-31.4762	149.1829	10973
-31.4697	149.1781	10973
-31.4094	149.1335	10973
-31.3999	149.1264	10973
-31.3882	149.1178	10973
-31.3786	149.1107	10973
-31.3691	149.1036	10973
-31.3523	149.0912	10973
-31.3310	149.0754	10973
-31.3215	149.0683	10973
-31.3119	149.0613	10973
-31.3024	149.0543	10973
-31.2949	149.0487	10973
-31.2833	149.0402	10973
-31.2642	149.0260	10973
-31.2568	149.0206	10973
-31.2354	149.0049	10973
-31.2163	148.9908	10973
-31.1971	148.9767	10973
-31.1897	148.9712	10973
-31.1796	148.9637	10973
-31.1706	148.9571	10973
-31.1684	148.9555	10973
-31.1493	148.9414	10973
-31.1301	148.9273	10973
-31.1205	148.9202	10973
-31.1035	148.9078	10973
-31.1013	148.9062	10973
-31.0821	148.8921	10973
-31.0747	148.8866	10973
